Job_Description,Label
Hiring Software Engineer with strong knowledge of Java and Spring Boot.,0
Hiring Software Engineer with strong knowledge of Java and Spring Boot.,0
Data Scientist needed with 4+ years of experience in Python and ML.,0
Earn ₹40816 weekly working from home. No skills required!,1
"Part-time online job, no skills needed, deposit ₹7475 to start.",1
"Simple typing work from home. Earn ₹45890 per month, no experience needed.",1
No interview required! Just pay ₹5988 and get instant job confirmation.,1
Looking for Marketing Manager with 6 years of experience.,0
Immediate opening: Pay ₹5075 upfront for guaranteed placement!,1
Work from home! Fill surveys and get paid daily. Limited seats.,1
Get job placement by paying only ₹1768 as security deposit.,1
"Simple typing work from home. Earn ₹45426 per month, no experience needed.",1
"Work from home and earn ₹47196. Hurry, only few slots left!",1
Get job placement by paying only ₹5096 as security deposit.,1
Hiring Software Engineer with strong knowledge of Java and Spring Boot.,0
No interview required! Just pay ₹7075 and get instant job confirmation.,1
"Work from home and earn ₹44814. Hurry, only few slots left!",1
We are looking for a Business Analyst with 6 years of experience in finance domain.,0
"Frontend Developer role, React + Node.js experience required.",0
Hiring Cloud Engineer with hands-on experience in AWS and Azure.,0
"Work 1 hour daily, earn ₹50246 instantly. Register now!",1
We are seeking HR Manager with proven track record in recruitment.,0
We are looking for a Business Analyst with 3 years of experience in finance domain.,0
Earn ₹28328 weekly working from home. No skills required!,1
Hiring Cloud Engineer with hands-on experience in AWS and Azure.,0
Data Scientist needed with 6+ years of experience in Python and ML.,0
Immediate opening: Pay ₹1390 upfront for guaranteed placement!,1
Hiring Cloud Engineer with hands-on experience in AWS and Azure.,0
Data Scientist needed with 4+ years of experience in Python and ML.,0
Earn ₹53449 weekly working from home. No skills required!,1
"Simple typing work from home. Earn ₹58008 per month, no experience needed.",1
"Full Stack Developer needed, expertise in Django and React preferred.",0
"Full Stack Developer needed, expertise in Django and React preferred.",0
"Part-time online job, no skills needed, deposit ₹3174 to start.",1
"Full Stack Developer needed, expertise in Django and React preferred.",0
Earn ₹52825 weekly working from home. No skills required!,1
"Mobile App Developer required, must have strong knowledge of Flutter.",0
"Simple typing work from home. Earn ₹12720 per month, no experience needed.",1
We are looking for a Business Analyst with 7 years of experience in finance domain.,0
"Work from home and earn ₹18242. Hurry, only few slots left!",1
"Work from home and earn ₹27168. Hurry, only few slots left!",1
Looking for Marketing Manager with 5 years of experience.,0
Job guaranteed if you pay registration fee of ₹4717 upfront.,1
Get job placement by paying only ₹6242 as security deposit.,1
"Work 1 hour daily, earn ₹56687 instantly. Register now!",1
Job guaranteed if you pay registration fee of ₹4130 upfront.,1
"Mobile App Developer required, must have strong knowledge of Flutter.",0
"Simple typing work from home. Earn ₹54001 per month, no experience needed.",1
Work from home! Fill surveys and get paid daily. Limited seats.,1
No interview required! Just pay ₹7829 and get instant job confirmation.,1
"Full Stack Developer needed, expertise in Django and React preferred.",0
"Work from home and earn ₹15073. Hurry, only few slots left!",1
"Part-time online job, no skills needed, deposit ₹2796 to start.",1
Work from home! Fill surveys and get paid daily. Limited seats.,1
"Full Stack Developer needed, expertise in Django and React preferred.",0
